Date,,Berri1,Berri1 IN,Berri1 OUT,CSC,CSC IN,CSC OUT,Maisonneuve_1,Mais1 IN,Mais1 OUT,Maisonneuve_2,Mais2 IN,Mais2 OUT,Parc,Parc IN,Parc OUT,PierDup,PierDup IN,PierDup OUT,Rachel1,Rachel1 IN,Rachel1 OUT,Saint-Urbain,Saint-Urbain New_IN,Saint-Urbain New_OUT,Totem_Laurier,Totem_Laurier_IN,Totem_Laurier_OUT
25/12/2008,0:00,4,1,3,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
26/12/2008,0:00,2,0,2,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
27/12/2008,0:00,1,0,1,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
28/12/2008,0:00,37,28,9,,,,17,8,9,21,13,8,,,,,,,,,,,,,,,
29/12/2008,0:00,109,82,27,,,,70,41,29,122,67,55,,,,,,,,,,,,,,,
30/12/2008,0:00,62,30,32,,,,30,15,15,61,31,30,,,,,,,,,,,,,,,
31/12/2008,0:00,23,15,8,,,,8,5,3,16,8,8,,,,,,,,,,,,,,,
01/01/2009,0:00,29,5,24,,,,20,12,8,35,21,14,,,,,,,,,,,,,,,
02/01/2009,0:00,19,9,10,,,,3,2,1,22,11,11,,,,,,,,,,,,,,,
03/01/2009,0:00,24,13,11,,,,12,6,6,22,13,9,,,,,,,,,,,,,,,
04/01/2009,0:00,24,7,17,,,,8,4,4,15,9,6,,,,,,,,,,,,,,,
05/01/2009,0:00,120,102,18,,,,111,57,54,141,75,66,,,,,,,,,,,,,,,
06/01/2009,0:00,261,191,70,,,,146,77,69,236,125,111,,,,,,,,,,,,,,,
07/01/2009,0:00,60,10,50,,,,33,17,16,80,41,39,,,,,,,,,,,,,,,
08/01/2009,0:00,24,10,14,,,,14,8,6,14,8,6,,,,,,,,,,,,,,,
09/01/2009,0:00,35,5,30,,,,20,11,9,32,17,15,,,,,,,,,,,,,,,
10/01/2009,0:00,81,32,49,,,,45,24,21,79,44,35,,,,,,,,,,,,,,,
11/01/2009,0:00,318,3,315,,,,160,81,79,306,167,139,,,,,,,,,,,,,,,
12/01/2009,0:00,105,24,81,,,,99,51,48,170,92,78,,,,,,,,,,,,,,,
13/01/2009,0:00,168,124,44,,,,94,50,44,172,93,79,,,,,,,,,,,,,,,
14/01/2009,0:00,145,72,73,,,,87,47,40,175,94,81,,,,,,,,,,,,,,,
15/01/2009,0:00,131,71,60,,,,90,47,43,172,93,79,,,,,,,,,,,,,,,
16/01/2009,0:00,93,68,25,,,,49,26,23,97,52,45,,,,,,,,,,,,,,,
17/01/2009,0:00,25,13,12,,,,13,7,6,20,12,8,,,,,,,,,,,,,,,
18/01/2009,0:00,52,8,44,,,,22,11,11,55,32,23,,,,,,,,,,,,,,,
19/01/2009,0:00,136,86,50,,,,127,65,62,202,111,91,,,,,,,,,,,,,,,
20/01/2009,0:00,147,72,75,,,,85,45,40,176,95,81,,,,,,,,,,,,,,,
21/01/2009,0:00,109,101,8,,,,63,33,30,137,74,63,,,,,,,,,,,,,,,
22/01/2009,0:00,172,144,28,,,,125,66,59,205,111,94,,,,,,,,,,,,,,,
23/01/2009,0:00,148,130,18,,,,81,45,36,153,84,69,,,,,,,,,,,,,,,
24/01/2009,0:00,15,9,6,,,,1,1,0,10,6,4,,,,,,,,,,,,,,,
25/01/2009,0:00,35,29,6,,,,14,8,6,28,16,12,,,,,,,,,,,,,,,
26/01/2009,0:00,93,74,19,,,,85,45,40,136,74,62,,,,,,,,,,,,,,,
27/01/2009,0:00,209,149,60,,,,119,64,55,221,120,101,,,,,,,,,,,,,,,
28/01/2009,0:00,92,58,34,,,,52,28,24,113,62,51,,,,,,,,,,,,,,,
29/01/2009,0:00,110,31,79,,,,80,42,38,117,63,54,,,,,,,,,,,,,,,
